light_intensity	ts
2665361,000000	2021-05-18T22:07:53:48
2667393,000000	2021-05-18T22:07:53:86
2669410,000000	2021-05-18T22:07:53:128
2671360,000000	2021-05-18T22:07:53:166
2672824,000000	2021-05-18T22:07:53:208
2674022,000000	2021-05-18T22:07:53:246
2677550,000000	2021-05-18T22:07:53:288
2680158,000000	2021-05-18T22:07:53:326
2680763,000000	2021-05-18T22:07:53:368
2685035,000000	2021-05-18T22:07:53:406
2687675,000000	2021-05-18T22:07:53:450
2688408,000000	2021-05-18T22:07:53:487
2686704,000000	2021-05-18T22:07:53:528
2683208,000000	2021-05-18T22:07:53:567
2682393,000000	2021-05-18T22:07:53:608
2683099,000000	2021-05-18T22:07:53:657
2684239,000000	2021-05-18T22:07:53:688
2684023,000000	2021-05-18T22:07:53:727
2686598,000000	2021-05-18T22:07:53:851
2686876,000000	2021-05-18T22:07:53:865
2687442,000000	2021-05-18T22:07:53:876
2688485,000000	2021-05-18T22:07:53:885
2690353,000000	2021-05-18T22:07:53:928
2691884,000000	2021-05-18T22:07:53:967
2693774,000000	2021-05-18T22:07:54:8
2696684,000000	2021-05-18T22:07:54:47
2699925,000000	2021-05-18T22:07:54:89
2700976,000000	2021-05-18T22:07:54:127
2703140,000000	2021-05-18T22:07:54:168
2705665,000000	2021-05-18T22:07:54:207
2709850,000000	2021-05-18T22:07:54:249
2712412,000000	2021-05-18T22:07:54:288
2712083,000000	2021-05-18T22:07:54:329
2712391,000000	2021-05-18T22:07:54:367
2709634,000000	2021-05-18T22:07:54:409
2709005,000000	2021-05-18T22:07:54:448
2710125,000000	2021-05-18T22:07:54:489
2711037,000000	2021-05-18T22:07:54:528
2710570,000000	2021-05-18T22:07:54:569
2712040,000000	2021-05-18T22:07:54:608
2713132,000000	2021-05-18T22:07:54:649
2714721,000000	2021-05-18T22:07:54:688
2715820,000000	2021-05-18T22:07:54:729
2717152,000000	2021-05-18T22:07:54:767
2718926,000000	2021-05-18T22:07:54:809
2720999,000000	2021-05-18T22:07:54:848
2724534,000000	2021-05-18T22:07:54:889
2725033,000000	2021-05-18T22:07:54:928
2727444,000000	2021-05-18T22:07:54:969
2731058,000000	2021-05-18T22:07:55:8
2732829,000000	2021-05-18T22:07:55:50
2736175,000000	2021-05-18T22:07:55:88
2737322,000000	2021-05-18T22:07:55:130
2738863,000000	2021-05-18T22:07:55:168
2737521,000000	2021-05-18T22:07:55:210
2735462,000000	2021-05-18T22:07:55:249
2734248,000000	2021-05-18T22:07:55:289
2734568,000000	2021-05-18T22:07:55:329
2734914,000000	2021-05-18T22:07:55:369
2734892,000000	2021-05-18T22:07:55:409
2734279,000000	2021-05-18T22:07:55:450
2735081,000000	2021-05-18T22:07:55:489
2735477,000000	2021-05-18T22:07:55:529
2735858,000000	2021-05-18T22:07:55:568
2738344,000000	2021-05-18T22:07:55:610
2739844,000000	2021-05-18T22:07:55:649
2739287,000000	2021-05-18T22:07:55:690
2742491,000000	2021-05-18T22:07:55:729
2742095,000000	2021-05-18T22:07:55:771
2744674,000000	2021-05-18T22:07:55:809
2745507,000000	2021-05-18T22:07:55:850
2747465,000000	2021-05-18T22:07:55:889
2748773,000000	2021-05-18T22:07:55:930
2750682,000000	2021-05-18T22:07:55:969
2752373,000000	2021-05-18T22:07:56:11
2751467,000000	2021-05-18T22:07:56:49
2749066,000000	2021-05-18T22:07:56:90
2747729,000000	2021-05-18T22:07:56:129
2747235,000000	2021-05-18T22:07:56:171
2744845,000000	2021-05-18T22:07:56:209
2744558,000000	2021-05-18T22:07:56:251
2744909,000000	2021-05-18T22:07:56:290
2745151,000000	2021-05-18T22:07:56:331
2746445,000000	2021-05-18T22:07:56:369
2745232,000000	2021-05-18T22:07:56:411
2745888,000000	2021-05-18T22:07:56:449
2746156,000000	2021-05-18T22:07:56:493
2748953,000000	2021-05-18T22:07:56:528
2748555,000000	2021-05-18T22:07:56:571
2749633,000000	2021-05-18T22:07:56:609
2752466,000000	2021-05-18T22:07:56:651
2753019,000000	2021-05-18T22:07:56:690
2754938,000000	2021-05-18T22:07:56:731
2754985,000000	2021-05-18T22:07:56:769
2756458,000000	2021-05-18T22:07:56:812
2758701,000000	2021-05-18T22:07:56:850
2755817,000000	2021-05-18T22:07:56:893
2752201,000000	2021-05-18T22:07:56:929
2749760,000000	2021-05-18T22:07:56:971
2748121,000000	2021-05-18T22:07:57:8
2746899,000000	2021-05-18T22:07:57:52
2745891,000000	2021-05-18T22:07:57:90
2745791,000000	2021-05-18T22:07:57:133
2747374,000000	2021-05-18T22:07:57:170
2745303,000000	2021-05-18T22:07:57:212
2744848,000000	2021-05-18T22:07:57:250
2744855,000000	2021-05-18T22:07:57:292
2746961,000000	2021-05-18T22:07:57:329
2746139,000000	2021-05-18T22:07:57:372
2747190,000000	2021-05-18T22:07:57:410
2749518,000000	2021-05-18T22:07:57:452
2749295,000000	2021-05-18T22:07:57:501
2750247,000000	2021-05-18T22:07:57:533
2751640,000000	2021-05-18T22:07:57:570
2754524,000000	2021-05-18T22:07:57:612
2753993,000000	2021-05-18T22:07:57:650
2752416,000000	2021-05-18T22:07:57:692
2749201,000000	2021-05-18T22:07:57:731
2744363,000000	2021-05-18T22:07:57:772
2743214,000000	2021-05-18T22:07:57:811
2739980,000000	2021-05-18T22:07:57:853
2740256,000000	2021-05-18T22:07:57:891
2738219,000000	2021-05-18T22:07:57:936
2738243,000000	2021-05-18T22:07:57:971
2738126,000000	2021-05-18T22:07:58:13
2735902,000000	2021-05-18T22:07:58:51
2735649,000000	2021-05-18T22:07:58:93
2735712,000000	2021-05-18T22:07:58:131
2736184,000000	2021-05-18T22:07:58:173
2736495,000000	2021-05-18T22:07:58:211
2736864,000000	2021-05-18T22:07:58:253
2738888,000000	2021-05-18T22:07:58:291
2738455,000000	2021-05-18T22:07:58:332
2739609,000000	2021-05-18T22:07:58:371
2740565,000000	2021-05-18T22:07:58:413
2741350,000000	2021-05-18T22:07:58:451
2740078,000000	2021-05-18T22:07:58:493
2735919,000000	2021-05-18T22:07:58:532
2730780,000000	2021-05-18T22:07:58:573
2727786,000000	2021-05-18T22:07:58:612
2722806,000000	2021-05-18T22:07:58:653
2720238,000000	2021-05-18T22:07:58:691
2719675,000000	2021-05-18T22:07:58:734
2717139,000000	2021-05-18T22:07:58:772
2715016,000000	2021-05-18T22:07:58:814
2713834,000000	2021-05-18T22:07:58:852
2711842,000000	2021-05-18T22:07:58:893
2709253,000000	2021-05-18T22:07:58:932
2708474,000000	2021-05-18T22:07:58:973
2708591,000000	2021-05-18T22:07:59:12
2707063,000000	2021-05-18T22:07:59:54
2706537,000000	2021-05-18T22:07:59:92
2707352,000000	2021-05-18T22:07:59:133
2708163,000000	2021-05-18T22:07:59:172
2706715,000000	2021-05-18T22:07:59:218
2708477,000000	2021-05-18T22:07:59:252
2707491,000000	2021-05-18T22:07:59:293
2704411,000000	2021-05-18T22:07:59:332
2699425,000000	2021-05-18T22:07:59:374
2691703,000000	2021-05-18T22:07:59:411
2687806,000000	2021-05-18T22:07:59:453
2681617,000000	2021-05-18T22:07:59:493
2677553,000000	2021-05-18T22:07:59:533
2675092,000000	2021-05-18T22:07:59:573
2673089,000000	2021-05-18T22:07:59:614
2671780,000000	2021-05-18T22:07:59:653
2667673,000000	2021-05-18T22:07:59:694
2665546,000000	2021-05-18T22:07:59:733
2663984,000000	2021-05-18T22:07:59:774
2662278,000000	2021-05-18T22:07:59:813
2661408,000000	2021-05-18T22:07:59:854
2660809,000000	2021-05-18T22:07:59:893
2660937,000000	2021-05-18T22:07:59:934
2661738,000000	2021-05-18T22:07:59:973
2659941,000000	2021-05-18T22:08:00:14
2659853,000000	2021-05-18T22:08:00:53
2660098,000000	2021-05-18T22:08:00:95
2660676,000000	2021-05-18T22:08:00:133
2660925,000000	2021-05-18T22:08:00:175
2654538,000000	2021-05-18T22:08:00:213
2648393,000000	2021-05-18T22:08:00:255
2640671,000000	2021-05-18T22:08:00:293
2635314,000000	2021-05-18T22:08:00:335
2630661,000000	2021-05-18T22:08:00:373
2626883,000000	2021-05-18T22:08:00:415
2624631,000000	2021-05-18T22:08:00:453
2621642,000000	2021-05-18T22:08:00:495
2618523,000000	2021-05-18T22:08:00:533
2615813,000000	2021-05-18T22:08:00:575
