light_intensity	ts
3128434,000000	2021-05-18T22:22:51:885
3113625,000000	2021-05-18T22:22:51:926
3093915,000000	2021-05-18T22:22:51:965
3082710,000000	2021-05-18T22:22:52:6
3070816,000000	2021-05-18T22:22:52:45
3065829,000000	2021-05-18T22:22:52:85
3060077,000000	2021-05-18T22:22:52:125
3056203,000000	2021-05-18T22:22:52:166
3058559,000000	2021-05-18T22:22:52:205
3063490,000000	2021-05-18T22:22:52:245
3063600,000000	2021-05-18T22:22:52:285
3066987,000000	2021-05-18T22:22:52:327
3070889,000000	2021-05-18T22:22:52:365
3070441,000000	2021-05-18T22:22:52:406
3074040,000000	2021-05-18T22:22:52:445
3076279,000000	2021-05-18T22:22:52:486
3079144,000000	2021-05-18T22:22:52:525
3077075,000000	2021-05-18T22:22:52:567
3069966,000000	2021-05-18T22:22:52:605
3056814,000000	2021-05-18T22:22:52:647
3045778,000000	2021-05-18T22:22:52:685
3038264,000000	2021-05-18T22:22:52:727
3030632,000000	2021-05-18T22:22:52:765
3028298,000000	2021-05-18T22:22:52:807
3023923,000000	2021-05-18T22:22:52:845
3021829,000000	2021-05-18T22:22:52:888
3022233,000000	2021-05-18T22:22:52:926
3018830,000000	2021-05-18T22:22:52:967
3018858,000000	2021-05-18T22:22:53:5
3022286,000000	2021-05-18T22:22:53:47
3023112,000000	2021-05-18T22:22:53:85
3027164,000000	2021-05-18T22:22:53:127
3031956,000000	2021-05-18T22:22:53:166
3034823,000000	2021-05-18T22:22:53:207
3042346,000000	2021-05-18T22:22:53:245
3048166,000000	2021-05-18T22:22:53:287
3043559,000000	2021-05-18T22:22:53:326
3038602,000000	2021-05-18T22:22:53:367
3030785,000000	2021-05-18T22:22:53:406
3028779,000000	2021-05-18T22:22:53:448
3027529,000000	2021-05-18T22:22:53:486
3029764,000000	2021-05-18T22:22:53:528
3032209,000000	2021-05-18T22:22:53:566
3038318,000000	2021-05-18T22:22:53:608
3039999,000000	2021-05-18T22:22:53:646
3041156,000000	2021-05-18T22:22:53:688
3044889,000000	2021-05-18T22:22:53:727
3049766,000000	2021-05-18T22:22:53:768
3052464,000000	2021-05-18T22:22:53:806
3058945,000000	2021-05-18T22:22:53:848
3062683,000000	2021-05-18T22:22:53:886
3068050,000000	2021-05-18T22:22:53:929
3074273,000000	2021-05-18T22:22:53:967
3080269,000000	2021-05-18T22:22:54:8
3080215,000000	2021-05-18T22:22:54:45
3076431,000000	2021-05-18T22:22:54:88
3067760,000000	2021-05-18T22:22:54:127
3064141,000000	2021-05-18T22:22:54:169
3061603,000000	2021-05-18T22:22:54:207
3063713,000000	2021-05-18T22:22:54:248
3065780,000000	2021-05-18T22:22:54:287
3068930,000000	2021-05-18T22:22:54:327
3072934,000000	2021-05-18T22:22:54:367
3075588,000000	2021-05-18T22:22:54:408
3078590,000000	2021-05-18T22:22:54:447
3082043,000000	2021-05-18T22:22:54:489
3089392,000000	2021-05-18T22:22:54:527
3093869,000000	2021-05-18T22:22:54:569
3100021,000000	2021-05-18T22:22:54:608
3106821,000000	2021-05-18T22:22:54:648
3114612,000000	2021-05-18T22:22:54:687
3118649,000000	2021-05-18T22:22:54:729
3116212,000000	2021-05-18T22:22:54:768
3110213,000000	2021-05-18T22:22:54:809
3102777,000000	2021-05-18T22:22:54:848
3098372,000000	2021-05-18T22:22:54:889
3100687,000000	2021-05-18T22:22:54:928
3102531,000000	2021-05-18T22:22:54:969
3108414,000000	2021-05-18T22:22:55:8
3111520,000000	2021-05-18T22:22:55:50
3114667,000000	2021-05-18T22:22:55:87
3119884,000000	2021-05-18T22:22:55:129
3125160,000000	2021-05-18T22:22:55:169
3130900,000000	2021-05-18T22:22:55:209
3139069,000000	2021-05-18T22:22:55:248
3147914,000000	2021-05-18T22:22:55:289
3153290,000000	2021-05-18T22:22:55:329
3162436,000000	2021-05-18T22:22:55:369
3166260,000000	2021-05-18T22:22:55:408
3166567,000000	2021-05-18T22:22:55:449
3165896,000000	2021-05-18T22:22:55:488
3164045,000000	2021-05-18T22:22:55:529
3165231,000000	2021-05-18T22:22:55:569
3167265,000000	2021-05-18T22:22:55:609
3174142,000000	2021-05-18T22:22:55:649
3181557,000000	2021-05-18T22:22:55:690
3190343,000000	2021-05-18T22:22:55:729
3196945,000000	2021-05-18T22:22:55:770
3204183,000000	2021-05-18T22:22:55:809
3213939,000000	2021-05-18T22:22:55:850
3220344,000000	2021-05-18T22:22:55:889
3230107,000000	2021-05-18T22:22:55:930
3241456,000000	2021-05-18T22:22:55:969
3251344,000000	2021-05-18T22:22:56:10
3258033,000000	2021-05-18T22:22:56:48
3263808,000000	2021-05-18T22:22:56:89
3269564,000000	2021-05-18T22:22:56:129
3267097,000000	2021-05-18T22:22:56:171
3265089,000000	2021-05-18T22:22:56:209
3264806,000000	2021-05-18T22:22:56:250
3269631,000000	2021-05-18T22:22:56:289
3273376,000000	2021-05-18T22:22:56:330
3279736,000000	2021-05-18T22:22:56:369
3283980,000000	2021-05-18T22:22:56:409
3288929,000000	2021-05-18T22:22:56:449
3293323,000000	2021-05-18T22:22:56:490
3297987,000000	2021-05-18T22:22:56:529
3302817,000000	2021-05-18T22:22:56:571
3307793,000000	2021-05-18T22:22:56:609
3312507,000000	2021-05-18T22:22:56:653
3318286,000000	2021-05-18T22:22:56:689
3318863,000000	2021-05-18T22:22:56:731
3323442,000000	2021-05-18T22:22:57:186
3325920,000000	2021-05-18T22:22:57:204
3328321,000000	2021-05-18T22:22:57:207
3324775,000000	2021-05-18T22:22:57:212
3322215,000000	2021-05-18T22:22:57:215
3322519,000000	2021-05-18T22:22:57:218
3323553,000000	2021-05-18T22:22:57:221
3326225,000000	2021-05-18T22:22:57:226
3328453,000000	2021-05-18T22:22:57:228
3328317,000000	2021-05-18T22:22:57:231
3331257,000000	2021-05-18T22:22:57:234
3336468,000000	2021-05-18T22:22:57:240
3342306,000000	2021-05-18T22:22:57:248
3344060,000000	2021-05-18T22:22:57:290
3347734,000000	2021-05-18T22:22:57:330
3349772,000000	2021-05-18T22:22:57:371
3355010,000000	2021-05-18T22:22:57:410
3359730,000000	2021-05-18T22:22:57:451
3364825,000000	2021-05-18T22:22:57:490
3371237,000000	2021-05-18T22:22:57:531
3373530,000000	2021-05-18T22:22:57:570
3377522,000000	2021-05-18T22:22:57:611
3377760,000000	2021-05-18T22:22:57:650
3377724,000000	2021-05-18T22:22:57:691
3377712,000000	2021-05-18T22:22:57:730
