light_intensity	ts
2103677,000000	2021-05-15T14:11:42:389
2103735,000000	2021-05-15T14:11:42:429
2103682,000000	2021-05-15T14:11:42:469
2103640,000000	2021-05-15T14:11:42:513
2103589,000000	2021-05-15T14:11:42:550
2103613,000000	2021-05-15T14:11:42:590
2103697,000000	2021-05-15T14:11:42:630
2103858,000000	2021-05-15T14:11:42:671
2103605,000000	2021-05-15T14:11:42:710
2103608,000000	2021-05-15T14:11:42:750
2103680,000000	2021-05-15T14:11:42:790
2103628,000000	2021-05-15T14:11:42:830
2103580,000000	2021-05-15T14:11:42:870
2103660,000000	2021-05-15T14:11:42:911
2103833,000000	2021-05-15T14:11:42:951
2103802,000000	2021-05-15T14:11:42:990
2103788,000000	2021-05-15T14:11:43:30
2103622,000000	2021-05-15T14:11:43:71
2103626,000000	2021-05-15T14:11:43:110
2103640,000000	2021-05-15T14:11:43:151
2103670,000000	2021-05-15T14:11:43:191
2103607,000000	2021-05-15T14:11:43:230
2103582,000000	2021-05-15T14:11:43:271
2103667,000000	2021-05-15T14:11:43:312
2103724,000000	2021-05-15T14:11:43:351
2103708,000000	2021-05-15T14:11:43:391
2103625,000000	2021-05-15T14:11:43:431
2103854,000000	2021-05-15T14:11:43:471
2103614,000000	2021-05-15T14:11:43:511
2103634,000000	2021-05-15T14:11:43:551
2103825,000000	2021-05-15T14:11:43:591
2103695,000000	2021-05-15T14:11:43:632
2103635,000000	2021-05-15T14:11:43:671
2103670,000000	2021-05-15T14:11:43:711
2103663,000000	2021-05-15T14:11:43:751
2103677,000000	2021-05-15T14:11:43:792
2103696,000000	2021-05-15T14:11:43:832
2103595,000000	2021-05-15T14:11:43:873
2103622,000000	2021-05-15T14:11:43:912
2103594,000000	2021-05-15T14:11:43:952
2103558,000000	2021-05-15T14:11:43:992
2103671,000000	2021-05-15T14:11:44:32
2103713,000000	2021-05-15T14:11:44:71
2103640,000000	2021-05-15T14:11:44:112
2103624,000000	2021-05-15T14:11:44:152
2103823,000000	2021-05-15T14:11:44:192
2103837,000000	2021-05-15T14:11:44:232
2103586,000000	2021-05-15T14:11:44:271
2103752,000000	2021-05-15T14:11:44:312
2103746,000000	2021-05-15T14:11:44:353
2103889,000000	2021-05-15T14:11:44:391
2103856,000000	2021-05-15T14:11:44:432
2103662,000000	2021-05-15T14:11:44:472
2103627,000000	2021-05-15T14:11:44:512
2103623,000000	2021-05-15T14:11:44:552
2103605,000000	2021-05-15T14:11:44:592
2103610,000000	2021-05-15T14:11:44:632
2103807,000000	2021-05-15T14:11:44:672
2103749,000000	2021-05-15T14:11:44:713
2103573,000000	2021-05-15T14:11:44:752
2103756,000000	2021-05-15T14:11:44:792
2103553,000000	2021-05-15T14:11:44:833
2103658,000000	2021-05-15T14:11:44:872
2103579,000000	2021-05-15T14:11:44:912
2103637,000000	2021-05-15T14:11:44:952
2103610,000000	2021-05-15T14:11:44:992
2103659,000000	2021-05-15T14:11:45:32
2103881,000000	2021-05-15T14:11:45:72
2103814,000000	2021-05-15T14:11:45:113
2103643,000000	2021-05-15T14:11:45:153
2103649,000000	2021-05-15T14:11:45:192
2103635,000000	2021-05-15T14:11:45:233
2103717,000000	2021-05-15T14:11:45:272
2103595,000000	2021-05-15T14:11:45:313
2103640,000000	2021-05-15T14:11:45:353
2103669,000000	2021-05-15T14:11:45:393
2103711,000000	2021-05-15T14:11:45:432
2103661,000000	2021-05-15T14:11:45:473
2103705,000000	2021-05-15T14:11:45:513
2103645,000000	2021-05-15T14:11:45:553
2103651,000000	2021-05-15T14:11:45:592
2103694,000000	2021-05-15T14:11:45:633
2103612,000000	2021-05-15T14:11:45:672
2103676,000000	2021-05-15T14:11:45:713
2103667,000000	2021-05-15T14:11:45:752
2103586,000000	2021-05-15T14:11:45:793
2103669,000000	2021-05-15T14:11:45:833
2103633,000000	2021-05-15T14:11:45:932
2103714,000000	2021-05-15T14:11:45:937
2103665,000000	2021-05-15T14:11:45:967
2103686,000000	2021-05-15T14:11:46:20
2103642,000000	2021-05-15T14:11:46:32
2103678,000000	2021-05-15T14:11:46:72
2103686,000000	2021-05-15T14:11:46:112
2103551,000000	2021-05-15T14:11:46:153
2103649,000000	2021-05-15T14:11:46:196
2103666,000000	2021-05-15T14:11:46:234
2103765,000000	2021-05-15T14:11:46:273
2103668,000000	2021-05-15T14:11:46:313
2103610,000000	2021-05-15T14:11:46:354
2103566,000000	2021-05-15T14:11:46:394
2103622,000000	2021-05-15T14:11:46:433
2103758,000000	2021-05-15T14:11:46:492
