light_intensity	ts
2803922,000000	2021-05-15T14:26:42:228
2786488,000000	2021-05-15T14:26:42:270
2750938,000000	2021-05-15T14:26:42:309
2715450,000000	2021-05-15T14:26:42:348
2693123,000000	2021-05-15T14:26:42:389
2677196,000000	2021-05-15T14:26:42:429
2663024,000000	2021-05-15T14:26:42:469
2666778,000000	2021-05-15T14:26:42:510
2674045,000000	2021-05-15T14:26:42:549
2720776,000000	2021-05-15T14:26:42:591
2747972,000000	2021-05-15T14:26:42:629
2734438,000000	2021-05-15T14:26:42:670
2709427,000000	2021-05-15T14:26:42:709
2687750,000000	2021-05-15T14:26:42:749
2667040,000000	2021-05-15T14:26:42:789
2648544,000000	2021-05-15T14:26:42:830
2640762,000000	2021-05-15T14:26:42:869
2643976,000000	2021-05-15T14:26:42:910
2667773,000000	2021-05-15T14:26:42:949
2709143,000000	2021-05-15T14:26:42:992
2717114,000000	2021-05-15T14:26:43:29
2695551,000000	2021-05-15T14:26:43:70
2665687,000000	2021-05-15T14:26:43:111
2641699,000000	2021-05-15T14:26:43:150
2623581,000000	2021-05-15T14:26:43:190
2610239,000000	2021-05-15T14:26:43:230
2592584,000000	2021-05-15T14:26:43:272
2611605,000000	2021-05-15T14:26:43:312
2614091,000000	2021-05-15T14:26:43:349
2639137,000000	2021-05-15T14:26:43:392
2659570,000000	2021-05-15T14:26:43:430
2661981,000000	2021-05-15T14:26:43:471
2657680,000000	2021-05-15T14:26:43:510
2640920,000000	2021-05-15T14:26:43:561
2616245,000000	2021-05-15T14:26:43:590
2600873,000000	2021-05-15T14:26:43:630
2588095,000000	2021-05-15T14:26:43:670
2589517,000000	2021-05-15T14:26:43:711
2607423,000000	2021-05-15T14:26:43:750
2663283,000000	2021-05-15T14:26:43:792
2698975,000000	2021-05-15T14:26:43:830
2686692,000000	2021-05-15T14:26:43:871
2665711,000000	2021-05-15T14:26:43:911
2644248,000000	2021-05-15T14:26:43:951
2628421,000000	2021-05-15T14:26:43:992
2606263,000000	2021-05-15T14:26:44:31
2597376,000000	2021-05-15T14:26:44:70
2608371,000000	2021-05-15T14:26:44:111
2618559,000000	2021-05-15T14:26:44:150
2645387,000000	2021-05-15T14:26:44:192
2674693,000000	2021-05-15T14:26:44:230
2679332,000000	2021-05-15T14:26:44:272
2677050,000000	2021-05-15T14:26:44:310
2664396,000000	2021-05-15T14:26:44:352
2646817,000000	2021-05-15T14:26:44:392
2633848,000000	2021-05-15T14:26:44:430
2618567,000000	2021-05-15T14:26:44:471
2620500,000000	2021-05-15T14:26:44:512
2638805,000000	2021-05-15T14:26:44:551
2685719,000000	2021-05-15T14:26:44:593
2692240,000000	2021-05-15T14:26:44:631
2680065,000000	2021-05-15T14:26:44:672
2667272,000000	2021-05-15T14:26:44:711
2660716,000000	2021-05-15T14:26:44:752
2651543,000000	2021-05-15T14:26:44:791
2628053,000000	2021-05-15T14:26:44:832
2614425,000000	2021-05-15T14:26:44:871
2584215,000000	2021-05-15T14:26:44:912
2598365,000000	2021-05-15T14:26:44:951
2629333,000000	2021-05-15T14:26:44:993
2642730,000000	2021-05-15T14:26:45:31
2644605,000000	2021-05-15T14:26:45:73
2639815,000000	2021-05-15T14:26:45:112
2621280,000000	2021-05-15T14:26:45:152
2595464,000000	2021-05-15T14:26:45:192
2594457,000000	2021-05-15T14:26:45:233
2596514,000000	2021-05-15T14:26:45:270
2595939,000000	2021-05-15T14:26:45:312
2628403,000000	2021-05-15T14:26:45:352
2662003,000000	2021-05-15T14:26:45:393
2673872,000000	2021-05-15T14:26:45:432
2663820,000000	2021-05-15T14:26:45:473
2646084,000000	2021-05-15T14:26:45:512
2625009,000000	2021-05-15T14:26:45:553
2607993,000000	2021-05-15T14:26:45:592
2596020,000000	2021-05-15T14:26:45:633
2587967,000000	2021-05-15T14:26:45:672
2597231,000000	2021-05-15T14:26:45:713
2609683,000000	2021-05-15T14:26:45:752
2663413,000000	2021-05-15T14:26:45:793
2706458,000000	2021-05-15T14:26:45:832
2709728,000000	2021-05-15T14:26:45:873
2708585,000000	2021-05-15T14:26:45:912
2694447,000000	2021-05-15T14:26:45:953
2675871,000000	2021-05-15T14:26:45:992
2660546,000000	2021-05-15T14:26:46:33
2643111,000000	2021-05-15T14:26:46:72
2646235,000000	2021-05-15T14:26:46:113
2693839,000000	2021-05-15T14:26:46:152
2741272,000000	2021-05-15T14:26:46:194
2754892,000000	2021-05-15T14:26:46:233
2726034,000000	2021-05-15T14:26:46:273
2707209,000000	2021-05-15T14:26:46:313
2695729,000000	2021-05-15T14:26:46:353
2677129,000000	2021-05-15T14:26:46:393
2664463,000000	2021-05-15T14:26:46:433
2664757,000000	2021-05-15T14:26:46:473
2657013,000000	2021-05-15T14:26:46:512
2687222,000000	2021-05-15T14:26:46:553
2731221,000000	2021-05-15T14:26:46:594
2766788,000000	2021-05-15T14:26:46:633
2779291,000000	2021-05-15T14:26:46:674
2776982,000000	2021-05-15T14:26:46:713
2753195,000000	2021-05-15T14:26:46:753
2731736,000000	2021-05-15T14:26:46:793
2715737,000000	2021-05-15T14:26:46:834
2703171,000000	2021-05-15T14:26:46:873
2693205,000000	2021-05-15T14:26:46:914
2739297,000000	2021-05-15T14:26:46:953
2801684,000000	2021-05-15T14:26:46:995
2831335,000000	2021-05-15T14:26:47:33
2834676,000000	2021-05-15T14:26:47:74
